ageGroup,ageGroupIdFk,athleteCountryCode,athleteIdFk,bestRecord,bibNumber,combinedEventScoreCalculated,firstName,gender,groupNo,imgVariants,initialPb,initialPbImperial,initialSb,initialSbImperial,laneRow,laneStacked,lastName,position,price,promotion,relayTeamNational,s3ImgUuid,seImplementIdFk,seedingPromotion,startStatus,eventIdFk,event,nameAndEvent
Senior,23,JAM,66094,None,,,Oblique,Male,0,,98600,98600,98600,98600,1,,Seville,43,$6370000,N,,,1,N,Ok,1,100m,Oblique Seville (100m)
Senior,23,USA,84987,None,,,Champion,Male,0,,437000,437000,437000,437000,1,,Allison,42,$6360000,N,,,3,N,Ok,3,400m,Champion Allison (400m)
Senior,23,USA,20477,None,,,Athing,Female,0,1,1150400,1150400,1170100,1170100,1,,Mu,44,$6350000,N,,20477_1655283328091,173,N,Ok,20,800m,Athing Mu (800m)
Senior,23,CHN,22581,None,,,Maocuo,Female,0,,99460000,99460000,99460000,99460000,1,,Li,6,$6340000,N,,,1312,N,Ok,2234,35K Racewalk,Maocuo Li (35K Racewalk)
Senior,23,JPN,84925,None,,,Serena,Female,0,,99480000,99480000,99480000,99480000,1,,Sonoda,23,$6330000,N,,,1312,N,Ok,2234,35K Racewalk,Serena Sonoda (35K Racewalk)
Senior,23,ETH,9046,None,,,Telahun,Male,0,1,7729800,7729800,7771800,7771800,1,,Bekele,15,$6270000,N,,9046_1562682327922,27,N,Ok,22,5000m,Telahun Bekele (5000m)
Senior,23,BDI,2374,None,,,Francine,Female,0,1,8653400,8653400,,,1,,Niyonsaba,5,$6260000,N,,2374_1630581798715,175,N,Ok,22,5000m,Francine Niyonsaba (5000m)
Senior,23,BRN,1459,None,,,Birhanu,Male,0,1,7762600,7762600,,,1,,Balew,7,$6220000,N,,1459_1621864522762,27,N,Ok,22,5000m,Birhanu Balew (5000m)
Senior,23,ETH,3179,None,,,Dawit,Female,0,,8658400,8658400,8658400,8658400,1,,Seyaum,9,$6210000,N,,dac57a56-ca7d-4371-9dbd-efd6befdfab5,175,N,Ok,22,5000m,Dawit Seyaum (5000m)
Senior,23,KEN,85064,None,,,Emmanuel,Male,0,,1037600,1037600,1040100,1040100,1,,Wanyonyi,33,$6180000,N,,,25,N,Ok,20,800m,Emmanuel Wanyonyi (800m)
Senior,23,USA,3951,None,,,Grant,Male,0,1,128100,128100,130300,130300,1,,Holloway,42,$6170000,N,,3951_1614159673843,6,N,Ok,5,110m Hurdles,Grant Holloway (110m Hurdles)
Senior,23,FRA,2757,None,,,Pierre-Ambroise,Male,0,1,1025300,1025300,1045400,1045400,1,,Bosse,18,$6170000,N,,2757_1498488694773,25,N,Ok,20,800m,Pierre-Ambroise Bosse (800m)
Senior,23,NGR,473,None,,,Tobi,Female,0,1,124100,124100,124100,124100,1,,Amusan,29,$6160000,N,,473_1630582664996,156,N,Ok,4,100m Hurdles,Tobi Amusan (100m Hurdles)
Senior,23,KEN,863,None,,,Conseslus,Male,0,1,4801200,4801200,4887600,4887600,1,,Kipruto,32,$6150000,N,,863_1599402818048,29,N,Ok,24,3000m Steeplechase,Conseslus Kipruto (3000m Steeplechase)
Senior,23,CHN,684,None,,,Shiying,Female,0,,6729,264900,,,1,,Liu,7,$6150000,N,,,219,N,Ok,53,Javelin Throw,Shiying Liu (Javelin Throw)
Senior,23,BOT,2592,None,,,Nijel,Male,0,1,1017300,1017300,1049200,1049200,1,,Amos,8,$6140000,N,,2592_1498489163798,25,N,Ok,20,800m,Nijel Amos (800m)
Senior,23,ERI,715,None,,,Hiskel,Male,0,,74750000,74750000,,,1,,Tewelde,23,$6140000,N,,,30,N,Ok,25,Marathon,Hiskel Tewelde (Marathon)
